year,from_country,to_country,traj_count
1980,AM,IT,1
1980,AM,RU,2
1980,AR,BE,1
1980,AR,BR,1
1980,AR,CA,1
1980,AR,DE,1
1980,AR,EC,1
1980,AR,ES,2
1980,AR,FR,1
1980,AR,GB,2
1980,AR,IL,1
1980,AR,MX,2
1980,AR,PE,1
1980,AR,US,5
1980,AT,CH,2
1980,AT,CZ,1
1980,AT,DE,2
1980,AT,FR,1
1980,AT,IT,1
1980,AT,RS,1
1980,AT,RU,1
1980,AT,US,3
1980,AU,CA,4
1980,AU,DE,2
1980,AU,GB,13
1980,AU,IN,1
1980,AU,JP,1
1980,AU,MY,2
1980,AU,NZ,3
1980,AU,PG,2
1980,AU,US,21
1980,AU,ZA,1
1980,AZ,RU,3
1980,AZ,UA,1
1980,BB,JM,1
1980,BD,AZ,1
1980,BD,CA,3
1980,BD,US,1
1980,BE,CD,1
1980,BE,CH,1
1980,BE,DE,2
1980,BE,FR,2
1980,BE,GB,3
1980,BE,IT,1
1980,BE,MY,1
1980,BE,NL,2
1980,BE,PT,1
1980,BE,US,4
1980,BF,US,1
1980,BG,DE,1
1980,BG,PS,1
1980,BG,RU,2
1980,BH,LB,1
1980,BQ,IQ,1
1980,BR,AR,1
1980,BR,BE,1
1980,BR,CA,2
1980,BR,CR,1
1980,BR,DE,9
1980,BR,FR,11
1980,BR,GB,19
1980,BR,MX,3
1980,BR,US,19
1980,BS,CA,1
1980,BW,ZW,1
1980,BY,LT,1
1980,BY,RU,1
1980,BY,VN,1
1980,CA,AU,6
1980,CA,BR,1
1980,CA,DE,3
1980,CA,EG,1
1980,CA,ET,1
1980,CA,FR,5
1980,CA,GB,7
1980,CA,GR,1
1980,CA,IL,1
1980,CA,IN,1
1980,CA,IT,1
1980,CA,MT,1
1980,CA,NL,1
1980,CA,NZ,4
1980,CA,SA,2
1980,CA,US,58
1980,CA,ZA,1
1980,CD,BE,1
1980,CD,CA,1
1980,CD,US,1
1980,CH,AT,1
1980,CH,AU,1
1980,CH,CA,1
1980,CH,DE,2
1980,CH,ES,1
1980,CH,FI,2
1980,CH,FR,1
1980,CH,GB,2
1980,CH,GR,1
1980,CH,IT,3
1980,CH,US,8
1980,CI,BR,1
1980,CL,AU,1
1980,CL,BR,2
1980,CL,CA,1
1980,CL,DE,1
1980,CL,ES,3
1980,CL,GB,1
1980,CL,MX,1
1980,CL,NI,1
1980,CL,PE,1
1980,CL,US,6
1980,CM,DE,1
1980,CM,FR,1
1980,CN,AU,1
1980,CN,CA,1
1980,CN,DK,1
1980,CN,GB,1
1980,CN,JP,2
1980,CN,NE,1
1980,CN,PH,1
1980,CN,US,6
1980,CO,AT,1
1980,CO,BR,1
1980,CO,CR,1
1980,CO,DE,4
1980,CO,ES,4
1980,CO,FR,1
1980,CO,GB,1
1980,CO,MX,2
1980,CO,RU,1
1980,CO,US,6
1980,CR,CO,1
1980,CR,MX,1
1980,CR,US,5
1980,CU,AT,1
1980,CU,BY,1
1980,CU,DE,1
1980,CU,ES,1
1980,CU,NL,1
1980,CU,RU,1
1980,CU,UA,2
1980,CZ,BG,1
1980,CZ,DE,1
1980,CZ,US,1
1980,DE,AU,1
1980,DE,BE,1
1980,DE,BF,1
1980,DE,BR,6
1980,DE,CA,3
1980,DE,CH,4
1980,DE,CO,1
1980,DE,CU,1
1980,DE,DK,1
1980,DE,EG,2
1980,DE,ES,1
1980,DE,ET,1
1980,DE,FI,1
1980,DE,FR,6
1980,DE,GB,7
1980,DE,GR,2
1980,DE,IL,2
1980,DE,IN,1
1980,DE,IT,3
1980,DE,JO,1
1980,DE,MX,4
1980,DE,NL,1
1980,DE,NO,1
1980,DE,PE,2
1980,DE,RU,1
1980,DE,TR,1
1980,DE,TW,1
1980,DE,US,19
1980,DE,VE,1
