time_window,THC,H,N,N_eff
1981-1983,0.09989,3.3224,27.72679,10.01104
1984-1986,0.0997,3.33521,28.08433,10.03006
1987-1989,0.09549,3.34431,28.34108,10.47198
1990-1992,0.08546,3.39135,29.70596,11.70113
1993-1995,0.07654,3.46747,32.05565,13.06517
1996-1998,0.06936,3.55463,34.97487,14.41666
1999-2001,0.06928,3.54497,34.63857,14.43487
2002-2004,0.05995,3.63727,37.9879,16.68185
2005-2007,0.05348,3.72451,41.45081,18.69828
2008-2010,0.0476,3.78708,44.12751,21.0088
2011-2013,0.04658,3.81402,45.33234,21.46739
2014-2016,0.04623,3.81114,45.20208,21.62982
2017-2019,0.04334,3.82149,45.67235,23.07357
2020-2022,0.0422,3.83018,46.07085,23.69877
2023-2025,0.04529,3.78323,43.95795,22.08168
