time_window,from_country,to_country,weight,degree,strength,p,alpha,significant
1980-1985,RU,AM,11,3,13,0.8461538461538461,0.0236686390532544,1
1980-1985,US,AR,17,17,48,0.3541666666666667,0.0009160671365822,1
1980-1985,DE,AT,10,26,67,0.1492537313432835,0.0175792897439306,1
1980-1985,US,AT,15,26,67,0.2238805970149253,0.0017709794564181,1
1980-1985,CA,AU,26,50,408,0.0637254901960784,0.0396969180977578,1
1980-1985,GB,AU,123,50,408,0.3014705882352941,2.3176622604702623e-08,1
1980-1985,NZ,AU,31,50,408,0.0759803921568627,0.020815084040395,1
1980-1985,US,AU,84,50,408,0.2058823529411764,1.2426748494488336e-05,1
1980-1985,RU,AZ,15,5,21,0.7142857142857143,0.0066638900458142,1
1980-1985,GB,BE,11,48,137,0.0802919708029197,0.0195681137458842,1
1980-1985,PT,BE,9,48,137,0.0656934306569343,0.041020591374755,1
1980-1985,US,BE,13,48,137,0.0948905109489051,0.0092247062674884,1
1980-1985,RU,BG,16,10,34,0.4705882352941176,0.0032669485317059,1
1980-1985,FR,BR,26,33,230,0.1130434782608695,0.0215216024638494,1
1980-1985,GB,BR,28,33,230,0.1217391304347826,0.015701931186173,1
1980-1985,US,BR,64,33,230,0.2782608695652174,2.9387866933593657e-05,1
1980-1985,RU,BY,24,7,37,0.6486486486486487,0.0018812641063632,1
1980-1985,CN,CA,33,69,750,0.044,0.0468960943418832,1
1980-1985,GB,CA,114,69,750,0.152,1.35181715492425e-05,1
1980-1985,IN,CA,36,69,750,0.048,0.03526245055078,1
1980-1985,US,CA,248,69,750,0.3306666666666666,1.3921526397618925e-12,1
1980-1985,DE,CH,34,38,267,0.1273408239700374,0.0064751883767956,1
1980-1985,GB,CH,45,38,267,0.1685393258426966,0.001081791050297,1
1980-1985,US,CH,55,38,267,0.2059925093632958,0.0001965668073457,1
1980-1985,US,CL,12,19,44,0.2727272727272727,0.0032400479168577,1
1980-1985,GB,CN,10,17,48,0.2083333333333333,0.0238055241307285,1
1980-1985,US,CN,14,17,48,0.2916666666666667,0.0040160848024502,1
1980-1985,US,CO,12,20,71,0.1690140845070422,0.029667407403387,1
1980-1985,US,CR,11,14,30,0.3666666666666666,0.0026376702501473,1
1980-1985,RU,CU,23,20,69,0.3333333333333333,0.0004510929897325,1
1980-1985,UA,CU,16,20,69,0.2318840579710145,0.006654398397075,1
1980-1985,SK,CZ,9,9,25,0.36,0.0281474976710656,1
1980-1985,BR,DE,38,68,650,0.0584615384615384,0.0176664947499054,1
1980-1985,GB,DE,59,68,650,0.0907692307692307,0.0017028105175641,1
1980-1985,IT,DE,31,68,650,0.0476923076923076,0.037851107331493,1
1980-1985,US,DE,135,68,650,0.2076923076923077,1.682245792249862e-07,1
1980-1985,US,DK,13,24,60,0.2166666666666666,0.0036372401270322,1
1980-1985,US,DO,6,6,12,0.5,0.03125,1
1980-1985,FR,DZ,16,14,44,0.3636363636363636,0.0028065295102845,1
1980-1985,US,EG,11,18,55,0.2,0.0225179981368525,1
1980-1985,CO,ES,21,40,233,0.0901287553648068,0.0251314563400918,1
1980-1985,GB,ES,24,40,233,0.1030042918454935,0.0144153183653794,1
1980-1985,MX,ES,19,40,233,0.0815450643776824,0.0362456790571313,1
1980-1985,US,ES,40,40,233,0.1716738197424892,0.0006454374062572,1
1980-1985,US,FI,13,14,33,0.3939393939393939,0.0014883625205199,1
1980-1985,BR,FR,63,75,734,0.0858310626702997,0.0013060447528917,1
1980-1985,DE,FR,42,75,734,0.0572207084468664,0.0127744601542883,1
1980-1985,DZ,FR,31,75,734,0.0422343324250681,0.0410379461895992,1
1980-1985,ES,FR,37,75,734,0.050408719346049,0.0217629189907526,1
1980-1985,GB,FR,40,75,734,0.0544959128065395,0.0158158442628796,1
1980-1985,MX,FR,52,75,734,0.0708446866485013,0.0043504611106202,1
1980-1985,PT,FR,42,75,734,0.0572207084468664,0.0127744601542883,1
1980-1985,US,FR,76,75,734,0.103542234332425,0.0003070490044804,1
1980-1985,AU,GB,90,101,1665,0.054054054054054,0.003860397523362,1
1980-1985,BR,GB,102,101,1665,0.0612612612612612,0.0017966935870842,1
1980-1985,CA,GB,68,101,1665,0.0408408408408408,0.0154549580156976,1
1980-1985,DE,GB,56,101,1665,0.0336336336336336,0.0326723690252599,1
1980-1985,GR,GB,50,101,1665,0.03003003003003,0.0474055164723948,1
1980-1985,IT,GB,54,101,1665,0.0324324324324324,0.0369939118764311,1
1980-1985,US,GB,327,101,1665,0.1963963963963964,3.192916483613714e-10,1
1980-1985,RU,GE,10,4,13,0.7692307692307693,0.0122894856622667,1
1980-1985,GB,GR,36,18,98,0.3673469387755102,0.0004166922610789,1
1980-1985,US,GR,27,18,98,0.2755102040816326,0.0041739634468967,1
1980-1985,US,HK,12,8,29,0.4137931034482758,0.0237879197305263,1
1980-1985,BA,HR,5,9,15,0.3333333333333333,0.0390184423106234,1
1980-1985,RU,HU,5,16,27,0.1851851851851851,0.0463322882888792,1
1980-1985,US,ID,9,8,21,0.4285714285714285,0.0198945288831305,1
1980-1985,GB,IE,33,12,58,0.5689655172413793,9.541840797026716e-05,1
1980-1985,US,IL,80,25,143,0.5594405594405595,2.8583031486967374e-09,1
1980-1985,GB,IN,18,28,105,0.1714285714285714,0.0062360378975794,1
1980-1985,US,IN,36,28,105,0.3428571428571428,1.1934778823182649e-05,1
1980-1985,GB,IQ,19,14,38,0.5,0.0001220703125,1
1980-1985,US,IR,39,8,72,0.5416666666666666,0.0042488373301592,1
1980-1985,DE,IT,29,34,259,0.1119691119691119,0.0198667292856969,1
1980-1985,GB,IT,31,34,259,0.1196911196911196,0.0148921614656499,1
1980-1985,US,IT,88,34,259,0.3397683397683397,1.1219653075859071e-06,1
1980-1985,US,JO,13,8,30,0.4333333333333333,0.0187626279378143,1
1980-1985,CN,JP,20,33,217,0.0921658986175115,0.0453114284938518,1
1980-1985,US,JP,87,33,217,0.4009216589861751,7.57662496511085e-08,1
1980-1985,US,KR,46,9,59,0.7796610169491526,5.555596879703049e-06,1
1980-1985,US,KW,7,9,19,0.3684210526315789,0.02531751994337,1
1980-1985,RU,KZ,25,7,31,0.8064516129032258,5.256992280576251e-05,1
1980-1985,US,LB,6,11,19,0.3157894736842105,0.0224852392801321,1
1980-1985,RU,LT,10,6,15,0.6666666666666666,0.0041152263374485,1
1980-1985,FR,MA,23,7,32,0.71875,0.0004949430003762,1
1980-1985,CO,MX,28,35,259,0.1081081081081081,0.0204463286639951,1
1980-1985,FR,MX,27,35,259,0.1042471042471042,0.0236809710854812,1
1980-1985,GB,MX,25,35,259,0.0965250965250965,0.0317064174419993,1
1980-1985,US,MX,77,35,259,0.2972972972972973,6.169290385140644e-06,1
1980-1985,GB,MY,30,10,66,0.4545454545454545,0.0042739268722819,1
1980-1985,GB,NG,22,15,62,0.3548387096774194,0.0021644931992513,1
1980-1985,US,NG,19,15,62,0.3064516129032258,0.0059576464256512,1
1980-1985,BE,NL,13,41,168,0.0773809523809523,0.0398929963981996,1
1980-1985,GB,NL,26,41,168,0.1547619047619047,0.001199948221247,1
1980-1985,US,NL,36,41,168,0.2142857142857142,6.465259769377006e-05,1
1980-1985,GB,NO,11,20,64,0.171875,0.0277857431449584,1
1980-1985,US,NO,14,20,64,0.21875,0.0091835496157991,1
1980-1985,AU,NZ,21,15,83,0.253012048192771,0.0168418718977635,1
1980-1985,GB,NZ,22,15,83,0.2650602409638554,0.013412952817658,1
1980-1985,US,PA,7,11,21,0.3333333333333333,0.0173415299158326,1
1980-1985,US,PE,9,21,59,0.1525423728813559,0.0365056305169803,1
1980-1985,US,PH,9,8,16,0.5625,0.0030679367482662,1
1980-1985,US,PL,12,24,63,0.1904761904761904,0.0077496379383087,1
1980-1985,US,PR,21,4,26,0.8076923076923077,0.0071119708693673,1
1980-1985,FR,PT,24,25,136,0.1764705882352941,0.0094688828445544,1
1980-1985,GB,PT,33,25,136,0.2426470588235294,0.0012681177808768,1
1980-1985,US,PT,21,25,136,0.1544117647058823,0.0178572413179125,1
1980-1985,KZ,RU,40,41,394,0.1015228426395939,0.0138127963246442,1
1980-1985,UA,RU,116,41,394,0.2944162436548223,8.748688703365008e-07,1
1980-1985,GB,SA,12,24,72,0.1666666666666666,0.0150949382549704,1
1980-1985,US,SA,16,24,72,0.2222222222222222,0.0030879993711559,1
1980-1985,GB,SD,7,9,18,0.3888888888888889,0.0194518736724743,1
1980-1985,US,SE,36,29,140,0.2571428571428571,0.0002428558119728,1
1980-1985,GB,SG,12,10,41,0.2926829268292683,0.044312603878782,1
1980-1985,US,SG,13,10,41,0.3170731707317073,0.0323122776245747,1
1980-1985,FR,TN,14,3,16,0.875,0.015625,1
1980-1985,GB,TR,24,16,69,0.3478260869565217,0.0016422956614049,1
1980-1985,US,TR,21,16,69,0.3043478260869565,0.00432396529513,1
1980-1985,US,TW,63,9,77,0.8181818181818182,1.194258893336915e-06,1
1980-1985,GB,TZ,6,7,12,0.5,0.015625,1
1980-1985,RU,UA,106,24,146,0.726027397260274,1.1675194316703358e-13,1
1980-1985,AU,US,128,123,4598,0.0278381905176163,0.0319230116379124,1
