time_window,country,continent,centrality_score,rank
1981-1983,US,North America,0.27016380721818095,1.0
1981-1983,GB,Europe,0.11313443850261826,2.0
1981-1983,CA,North America,0.06712161475862301,3.0
1981-1983,FR,Europe,0.048136051963601954,4.0
1981-1983,DE,Europe,0.04574756480069296,5.0
1981-1983,AU,Oceania,0.03138430225856347,6.0
1981-1983,IT,Europe,0.022149694544162445,7.0
1981-1983,CH,Europe,0.02162063881179096,8.0
1981-1983,BR,South America,0.01936397419824245,9.0
1981-1983,JP,Asia,0.01836749183878907,10.0
1984-1986,US,North America,0.26874814037367445,1.0
1984-1986,GB,Europe,0.12349004581234947,2.0
1984-1986,CA,North America,0.048169810628963805,3.0
1984-1986,FR,Europe,0.04695096124791381,4.0
1984-1986,DE,Europe,0.04629883164191512,5.0
1984-1986,AU,Oceania,0.030917460035251726,6.0
1984-1986,IT,Europe,0.024757684070534206,7.0
1984-1986,CH,Europe,0.024169518062345532,8.0
1984-1986,ES,Europe,0.02186022785379958,9.0
1984-1986,BR,South America,0.0199784722823683,10.0
1987-1989,US,North America,0.2596227581269633,1.0
1987-1989,GB,Europe,0.12233389948658109,2.0
1987-1989,CA,North America,0.055477836440660955,3.0
1987-1989,FR,Europe,0.048418960600007346,4.0
1987-1989,DE,Europe,0.04293534868084581,5.0
1987-1989,AU,Oceania,0.029950819280083665,6.0
1987-1989,IT,Europe,0.0266362981824768,7.0
1987-1989,ES,Europe,0.024214410648348172,8.0
1987-1989,CH,Europe,0.02303834120951777,9.0
1987-1989,JP,Asia,0.020870218857573227,10.0
1990-1992,US,North America,0.23525255579977974,1.0
1990-1992,GB,Europe,0.12527530283908395,2.0
1990-1992,FR,Europe,0.05330333178307679,3.0
1990-1992,CA,North America,0.052652352998993464,4.0
1990-1992,DE,Europe,0.04506694418919955,5.0
1990-1992,AU,Oceania,0.032777878745356114,6.0
1990-1992,ES,Europe,0.03021043326792953,7.0
1990-1992,IT,Europe,0.029908803453784813,8.0
1990-1992,CH,Europe,0.024557565772488844,9.0
1990-1992,JP,Asia,0.020988259701824344,10.0
1990-1992,BR,South America,0.019070766980428457,11.0
1993-1995,US,North America,0.21582418150241403,1.0
1993-1995,GB,Europe,0.12707752428681324,2.0
1993-1995,FR,Europe,0.05062703272384338,3.0
1993-1995,DE,Europe,0.046482557235596744,4.0
1993-1995,ES,Europe,0.035496465393522025,5.0
1993-1995,AU,Oceania,0.03445333567954358,6.0
1993-1995,CA,North America,0.03311104108677162,7.0
1993-1995,BR,South America,0.027960964286447103,8.0
1993-1995,JP,Asia,0.02523203706854083,9.0
1993-1995,IT,Europe,0.023669763622955205,10.0
1993-1995,KR,Asia,0.023319718854402052,11.0
1993-1995,CH,Europe,0.021805589113911027,12.0
1993-1995,NL,Europe,0.017799960442367136,13.0
1996-1998,US,North America,0.19656776712794247,1.0
1996-1998,GB,Europe,0.13069479174492793,2.0
1996-1998,DE,Europe,0.04879502411395568,3.0
1996-1998,FR,Europe,0.04801134086785724,4.0
1996-1998,ES,Europe,0.03794690237660322,5.0
1996-1998,CA,North America,0.03338609519519123,6.0
1996-1998,AU,Oceania,0.03212543769039449,7.0
1996-1998,BR,South America,0.026829105663586705,8.0
1996-1998,JP,Asia,0.02370183410001061,9.0
1996-1998,IT,Europe,0.022457961273748973,10.0
1996-1998,CH,Europe,0.021097881367751606,11.0
1996-1998,NL,Europe,0.02071598473948757,12.0
1996-1998,SE,Europe,0.017186645685550322,13.0
1996-1998,KR,Asia,0.01552554810010543,14.0
1999-2001,US,North America,0.19980044166486982,1.0
1999-2001,GB,Europe,0.12098160773779229,2.0
1999-2001,DE,Europe,0.052961399507508625,3.0
1999-2001,FR,Europe,0.04738341157262273,4.0
1999-2001,ES,Europe,0.04209241290146778,5.0
1999-2001,CA,North America,0.038173159079020406,6.0
1999-2001,AU,Oceania,0.032215528570213404,7.0
1999-2001,IT,Europe,0.028228974521155532,8.0
1999-2001,JP,Asia,0.02411015293917822,9.0
1999-2001,CH,Europe,0.02339705398825662,10.0
1999-2001,NL,Europe,0.021917180740834298,11.0
1999-2001,BR,South America,0.01964200482124546,12.0
1999-2001,PT,Europe,0.016391490152452975,13.0
1999-2001,MX,North America,0.015878820469438715,14.0
2002-2004,US,North America,0.17466495969676518,1.0
2002-2004,GB,Europe,0.11649112314755024,2.0
2002-2004,DE,Europe,0.05403258781523413,3.0
2002-2004,FR,Europe,0.04861151311947055,4.0
2002-2004,ES,Europe,0.04795848534889034,5.0
2002-2004,CA,North America,0.0399682418163913,6.0
2002-2004,AU,Oceania,0.034468457997504066,7.0
2002-2004,IT,Europe,0.025168646069246053,8.0
2002-2004,JP,Asia,0.024209531524171803,9.0
2002-2004,CH,Europe,0.024127038372395528,10.0
2002-2004,NL,Europe,0.020934292608391043,11.0
2002-2004,BR,South America,0.019965661675547627,12.0
2002-2004,PT,Europe,0.01727343627413114,13.0
2002-2004,CN,Asia,0.016232536976091793,14.0
2002-2004,KR,Asia,0.015834640611536267,15.0
2002-2004,SE,Europe,0.014416769009746446,16.0
2005-2007,US,North America,0.15510949173579958,1.0
2005-2007,GB,Europe,0.11751221238660015,2.0
2005-2007,ES,Europe,0.051718533910786034,3.0
2005-2007,DE,Europe,0.05019774778056594,4.0
2005-2007,FR,Europe,0.04536537794703063,5.0
2005-2007,AU,Oceania,0.03781479060413839,6.0
2005-2007,CA,North America,0.0351175054076695,7.0
2005-2007,IT,Europe,0.025302529800489467,8.0
2005-2007,CH,Europe,0.023405722623808155,9.0
2005-2007,JP,Asia,0.02165790221094615,10.0
2005-2007,NL,Europe,0.02160517016870921,11.0
2005-2007,CN,Asia,0.02012272631361833,12.0
2005-2007,BR,South America,0.01854099257433035,13.0
2005-2007,PT,Europe,0.017234656852951464,14.0
2005-2007,SE,Europe,0.01591367956976473,15.0
2005-2007,KR,Asia,0.01446516254829274,16.0
2005-2007,IN,Asia,0.012681073362052807,17.0
2005-2007,MX,North America,0.012393300872552984,18.0
2008-2010,US,North America,0.14383941598909555,1.0
2008-2010,GB,Europe,0.1020560418650531,2.0
2008-2010,DE,Europe,0.053814166557446065,3.0
2008-2010,ES,Europe,0.05070163755395027,4.0
2008-2010,FR,Europe,0.04435979920742262,5.0
2008-2010,AU,Oceania,0.03761699644456122,6.0
2008-2010,CA,North America,0.03142700854416948,7.0
2008-2010,CN,Asia,0.027609167152253946,8.0
2008-2010,CH,Europe,0.02575781463880389,9.0
2008-2010,BR,South America,0.02276914779277761,10.0
2008-2010,IT,Europe,0.022542876692951734,11.0
2008-2010,NL,Europe,0.022354529525509734,12.0
2008-2010,PT,Europe,0.021357254341908206,13.0
2008-2010,JP,Asia,0.020214478942754282,14.0
2008-2010,SE,Europe,0.018753522843470042,15.0
2008-2010,IN,Asia,0.016355289330411537,16.0
2008-2010,KR,Asia,0.014276167396327106,17.0
2008-2010,BE,Europe,0.013467119713858059,18.0
2008-2010,CO,South America,0.011833854941735642,19.0
2008-2010,MY,Asia,0.011653239874525491,20.0
2008-2010,MX,North America,0.011617373823065694,21.0
2011-2013,US,North America,0.1442044344156068,1.0
2011-2013,GB,Europe,0.10129399239928209,2.0
2011-2013,DE,Europe,0.054969720820694824,3.0
2011-2013,FR,Europe,0.039294412431585234,4.0
2011-2013,ES,Europe,0.038062960456392264,5.0
