year,country,continent,centrality_score,rank
1980,EG,Africa,0.005124,31.0
1980,AE,Asia,0.000918,88.0
1980,GB,Europe,0.127473,2.0
1980,HR,Europe,0.001148,72.0
1980,AL,Europe,0.000568,111.0
1980,RU,Europe,0.014271,12.0
1980,AM,Asia,0.000646,109.0
1980,BR,South America,0.020446,10.0
1980,AR,South America,0.002428,47.0
1980,PE,South America,0.003477,39.0
1980,US,North America,0.263861,1.0
1980,AS,Oceania,0.001054,74.0
1980,CH,Europe,0.024131,8.0
1980,AT,Europe,0.007558,22.0
1980,CO,South America,0.004611,33.0
1980,CU,North America,0.002091,51.0
1980,IN,Asia,0.008095,21.0
1980,IR,Asia,0.007117,24.0
1980,IT,Europe,0.030479,7.0
1980,MX,North America,0.021627,9.0
1980,PL,Europe,0.003535,38.0
1980,PT,Europe,0.008511,19.0
1980,CA,North America,0.056619,3.0
1980,AU,Oceania,0.032916,6.0
1980,CL,South America,0.002075,52.0
1980,CN,Asia,0.001054,74.0
1980,DE,Europe,0.051243,4.0
1980,IL,Asia,0.015188,11.0
1980,JP,Asia,0.011178,16.0
1980,LK,Asia,0.000971,86.0
1980,NZ,Oceania,0.006885,26.0
1980,ZA,Africa,0.006941,25.0
1980,BD,Asia,0.000189,128.0
1980,AZ,Asia,0.000455,114.0
1980,BA,Europe,0.000792,97.0
1980,RS,Europe,0.000906,92.0
1980,BE,Europe,0.011034,17.0
1980,CD,Africa,0.000796,96.0
1980,FR,Europe,0.041456,5.0
1980,GR,Europe,0.01288,13.0
1980,KE,Africa,0.002621,45.0
1980,MY,Asia,0.006733,27.0
1980,UY,South America,0.001054,74.0
1980,BF,Africa,0.000848,93.0
1980,CZ,Europe,0.001275,69.0
1980,BG,Europe,0.001692,57.0
1980,IQ,Asia,0.001401,65.0
1980,BH,Asia,0.000315,126.0
1980,CI,Africa,0.000189,128.0
1980,VE,South America,0.00924,18.0
1980,BT,Asia,0.00034,123.0
1980,BW,Africa,0.001447,63.0
1980,BY,Europe,0.001382,66.0
1980,UZ,Asia,0.001004,83.0
1980,BS,North America,0.000189,128.0
1980,ES,Europe,0.01243,14.0
1980,GH,Africa,0.000189,128.0
1980,HK,Asia,0.003337,40.0
1980,IE,Europe,0.003895,36.0
1980,NL,Europe,0.011739,15.0
1980,SA,Asia,0.0046,34.0
1980,TR,Asia,0.005735,30.0
1980,DZ,Africa,0.001759,55.0
1980,FI,Europe,0.006151,28.0
1980,LB,Asia,0.002099,50.0
1980,SE,Europe,0.008401,20.0
1980,PY,South America,0.000189,128.0
1980,CM,Africa,0.001054,74.0
1980,CR,North America,0.002984,42.0
1980,GT,North America,0.001054,74.0
1980,HU,Europe,0.00328,41.0
1980,SK,Europe,0.000417,115.0
1980,UA,Europe,0.005776,29.0
1980,CV,Africa,0.000461,113.0
1980,CY,Europe,0.000743,99.0
1980,KR,Asia,0.001054,74.0
1980,ML,Africa,0.000189,128.0
1980,MT,Europe,0.000779,98.0
1980,RO,Europe,0.001002,85.0
1980,TH,Asia,0.00189,54.0
1980,DK,Europe,0.004429,35.0
1980,JM,North America,0.00093,87.0
1980,EC,South America,0.000316,125.0
1980,DO,North America,0.000189,128.0
1980,ET,Africa,0.002611,46.0
1980,JO,Asia,0.001648,58.0
1980,MA,Africa,0.002317,48.0
1980,TN,Africa,0.000821,94.0
1980,ID,Asia,0.001054,74.0
1980,IS,Europe,0.001694,56.0
1980,JE,Europe,0.000743,99.0
1980,NG,Africa,0.007204,23.0
1980,NO,Europe,0.003844,37.0
1980,PH,Asia,0.002859,43.0
1980,PK,Asia,0.000743,99.0
1980,SG,Asia,0.002851,44.0
1980,SZ,Africa,0.000189,128.0
1980,TW,Asia,0.004861,32.0
1980,ZM,Africa,0.001296,68.0
1980,GE,Asia,0.000417,115.0
1980,MQ,North America,0.000189,128.0
1980,GP,North America,0.000377,120.0
1980,LR,Africa,0.000189,128.0
1980,GW,Africa,0.000733,107.0
1980,SI,Europe,0.000189,128.0
1980,VN,Asia,0.001428,64.0
1980,BQ,North America,0.000189,128.0
1980,BB,North America,0.000189,128.0
1980,TZ,Africa,0.000355,121.0
1980,UG,Africa,0.000708,108.0
1980,KG,Asia,0.000417,115.0
1980,KW,Asia,0.001054,74.0
1980,KY,North America,0.000743,99.0
1980,KZ,Asia,0.001973,53.0
1980,LS,Africa,0.000916,90.0
1980,LT,Europe,0.001103,73.0
1980,LV,Europe,0.000742,105.0
1980,LY,Africa,0.001608,60.0
1980,MD,Europe,0.001004,83.0
1980,ME,Europe,0.000414,119.0
1980,MN,Asia,0.000742,105.0
1980,MU,Africa,0.000743,99.0
1980,PA,North America,0.002106,49.0
1980,SV,North America,0.000189,128.0
1980,MZ,Africa,0.000355,121.0
1980,NE,Africa,0.000264,127.0
1980,NI,North America,0.001565,61.0
1980,NP,Asia,0.00034,123.0
1980,NR,Oceania,0.000417,115.0
1980,OM,Asia,0.000916,90.0
