year,scope,THC,H,N,N_eff,N_hh,N_eff_count,G
1980,Global,0.09908,3.31157,27.42813,10.09318,10.0929,11.0,
1980,Europe,,2.564798,12.998,10.0,7.1984,,0.13892
1980,Asia,,3.086555,21.9015,11.0,14.9081,,0.067078
1980,North America,,0.919622,2.5083,3.0,1.7385,,0.575204
1980,South America,,1.575147,4.8315,2.0,3.5052,,0.285287
1980,Africa,,2.991425,19.914,10.0,13.517,,0.073981
1980,Oceania,,0.847026,2.3327,2.0,1.6824,,0.594406
1981,Global,0.0998,3.27063,26.32789,10.01956,10.02,12.0,
1981,Europe,,2.535952,12.6284,9.0,7.2793,,0.137376
1981,Asia,,2.842246,17.1543,10.0,11.2692,,0.088737
1981,North America,,0.904248,2.4701,3.0,1.7935,,0.557573
1981,South America,,1.720739,5.5887,3.0,3.8265,,0.261337
1981,Africa,,3.029575,20.6884,8.0,13.7683,,0.072631
1981,Oceania,,0.751786,2.1208,1.0,1.6825,,0.594337
1982,Global,0.09775,3.37958,29.35848,10.23043,10.2302,14.0,
1982,Europe,,2.661577,14.3189,10.0,8.5279,,0.117262
1982,Asia,,3.102983,22.2643,14.0,16.1469,,0.061931
1982,North America,,1.041618,2.8338,2.0,1.888,,0.529648
1982,South America,,1.882734,6.5714,6.0,5.1135,,0.19556
1982,Africa,,2.999968,20.0849,10.0,13.7933,,0.072499
1982,Oceania,,0.789853,2.2031,2.0,1.6616,,0.60182
1983,Global,0.09197,3.36975,29.07128,10.87285,10.8731,15.0,
1983,Europe,,2.578099,13.1721,11.0,7.5854,,0.131832
1983,Asia,,2.931475,18.7553,11.0,12.5967,,0.079386
1983,North America,,0.993284,2.7001,2.0,1.7877,,0.559392
1983,South America,,1.524965,4.595,2.0,3.2545,,0.307268
1983,Africa,,3.106683,22.3468,11.0,16.5216,,0.060527
1983,Oceania,,0.863881,2.3724,2.0,1.6903,,0.591598
1984,Global,0.10345,3.30624,27.28243,9.66657,9.6665,12.0,
1984,Europe,,2.522927,12.465,8.0,6.6133,,0.151211
1984,Asia,,3.070896,21.5612,12.0,14.9221,,0.067015
1984,North America,,0.894266,2.4455,3.0,1.6983,,0.588808
1984,South America,,1.79018,5.9905,4.0,4.6587,,0.214652
1984,Africa,,2.721495,15.203,9.0,9.4942,,0.105327
1984,Oceania,,0.720632,2.0557,1.0,1.4948,,0.669005
1985,Global,0.09948,3.31096,27.41149,10.05232,10.0523,12.0,
1985,Europe,,2.51567,12.3749,10.0,7.0081,,0.142691
1985,Asia,,3.037801,20.8593,15.0,15.2195,,0.065705
1985,North America,,0.854202,2.3495,3.0,1.6542,,0.604532
1985,South America,,1.884916,6.5858,4.0,5.0254,,0.19899
1985,Africa,,3.020207,20.4955,9.0,14.6827,,0.068107
1985,Oceania,,0.847363,2.3335,2.0,1.7824,,0.561034
1986,Global,0.09335,3.36912,29.05308,10.71189,10.7124,12.0,
1986,Europe,,2.621631,13.7581,10.0,7.9598,,0.125631
1986,Asia,,2.99825,20.0504,10.0,14.0057,,0.0714
1986,North America,,0.902043,2.4646,3.0,1.6272,,0.614564
1986,South America,,1.680234,5.3668,3.0,3.5085,,0.28502
1986,Africa,,3.067286,21.4835,7.0,14.563,,0.068667
1986,Oceania,,0.668923,1.9521,2.0,1.6776,,0.596105
1987,Global,0.10035,3.32439,27.78199,9.9653,9.9651,12.0,
1987,Europe,,2.568051,13.0404,12.0,7.6043,,0.131504
1987,Asia,,3.036332,20.8287,12.0,14.8937,,0.067143
1987,North America,,0.787112,2.197,2.0,1.5754,,0.634757
1987,South America,,1.830664,6.238,4.0,4.6364,,0.215683
